epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,95.1127,1.15918,0.71498,1.68712,0.96179,0.98113,0.99266,0.63144,1.2856,0.65949,1.72294,0.0011684,0.0011684,0.0011684
44,97.2747,1.19453,0.76082,1.69147,0.99472,1,0.995,0.68519,1.12467,0.5648,1.53073,0.0011486,0.0011486,0.0011486
45,99.429,1.18007,0.72827,1.67394,0.99739,1,0.995,0.68977,1.09811,0.54402,1.53101,0.0011288,0.0011288,0.0011288
46,101.573,1.13888,0.7139,1.66908,0.9969,1,0.995,0.63927,1.24216,0.51825,1.63656,0.001109,0.001109,0.001109
47,103.777,1.16992,0.73884,1.67074,0.97487,0.96226,0.97582,0.57765,1.3851,0.72066,1.87177,0.0010892,0.0010892,0.0010892
48,106.105,1.15404,0.70004,1.66741,0.98386,0.98113,0.99446,0.52346,1.55268,0.69658,2.08509,0.0010694,0.0010694,0.0010694
49,108.392,1.143,0.69233,1.64483,0.99667,1,0.995,0.68898,1.20578,0.53629,1.65545,0.0010496,0.0010496,0.0010496
50,110.576,1.1394,0.70356,1.65609,0.99736,1,0.995,0.69356,1.14671,0.5139,1.55919,0.0010298,0.0010298,0.0010298
51,112.764,1.21017,0.73334,1.69488,0.99296,1,0.995,0.57483,1.46616,0.61292,2.06671,0.00101,0.00101,0.00101
52,114.908,1.15068,0.68818,1.65891,0.98716,1,0.995,0.5771,1.37158,0.64506,1.83394,0.0009902,0.0009902,0.0009902
53,117.064,1.15616,0.69364,1.66027,0.97677,0.98113,0.99376,0.56218,1.54217,0.62239,2.04134,0.0009704,0.0009704,0.0009704
54,119.2,1.14253,0.69517,1.63986,0.996,1,0.995,0.69731,1.06473,0.51056,1.51754,0.0009506,0.0009506,0.0009506
55,121.343,1.10606,0.66649,1.62601,0.87025,0.88588,0.95187,0.5604,1.37471,0.71054,1.85353,0.0009308,0.0009308,0.0009308
56,123.519,1.10545,0.68445,1.61484,0.97872,1,0.99333,0.67563,1.23436,0.59364,1.64777,0.000911,0.000911,0.000911
57,125.675,1.1147,0.66543,1.60526,0.96338,0.99294,0.98784,0.63683,1.23865,0.60649,1.72434,0.0008912,0.0008912,0.0008912
58,127.829,1.09843,0.65282,1.60504,0.94761,1,0.99205,0.68728,1.12433,0.62809,1.60422,0.0008714,0.0008714,0.0008714
59,129.974,1.11363,0.66011,1.61157,0.99707,1,0.995,0.65108,1.14533,0.50853,1.57181,0.0008516,0.0008516,0.0008516
60,132.155,1.07022,0.65195,1.61039,0.99823,1,0.995,0.71412,1.06692,0.4579,1.49981,0.0008318,0.0008318,0.0008318
61,134.389,1.1213,0.66061,1.61536,0.98247,1,0.995,0.64119,1.22424,0.53402,1.67938,0.000812,0.000812,0.000812
62,136.507,1.08952,0.65251,1.60537,0.99753,1,0.995,0.67795,1.19577,0.51458,1.61839,0.0007922,0.0007922,0.0007922
63,138.7,1.0778,0.64181,1.57999,0.9983,1,0.995,0.66913,1.21721,0.49792,1.65528,0.0007724,0.0007724,0.0007724
64,140.902,1.0558,0.6266,1.56573,0.96162,0.98113,0.99298,0.62737,1.21611,0.57563,1.66905,0.0007526,0.0007526,0.0007526
65,143.064,1.07297,0.65117,1.58688,0.99777,1,0.995,0.71915,1.01523,0.46471,1.47024,0.0007328,0.0007328,0.0007328
66,145.235,1.06663,0.64058,1.5716,0.99864,1,0.995,0.70745,1.06933,0.46208,1.49411,0.000713,0.000713,0.000713
67,147.525,1.06603,0.63406,1.58369,0.99915,1,0.995,0.67696,1.20484,0.48959,1.69082,0.0006932,0.0006932,0.0006932
68,149.701,1.07068,0.63207,1.58531,1,0.96111,0.99183,0.68958,1.21724,0.51544,1.63169,0.0006734,0.0006734,0.0006734
69,151.868,1.06699,0.6235,1.57814,0.99808,1,0.995,0.64727,1.22382,0.58795,1.70415,0.0006536,0.0006536,0.0006536
70,154.05,1.03624,0.62436,1.55244,0.99834,1,0.995,0.63743,1.25557,0.52976,1.68975,0.0006338,0.0006338,0.0006338
71,156.215,1.02967,0.61725,1.54283,0.99817,1,0.995,0.6621,1.26626,0.52338,1.72018,0.000614,0.000614,0.000614
72,158.384,1.06506,0.62849,1.58241,0.99799,1,0.995,0.63374,1.33984,0.53944,1.7739,0.0005942,0.0005942,0.0005942
73,160.517,1.01101,0.58794,1.54217,0.99565,1,0.995,0.63709,1.30405,0.50229,1.76899,0.0005744,0.0005744,0.0005744
74,162.702,1.01276,0.58364,1.52302,0.99812,1,0.995,0.67958,1.20944,0.4876,1.64445,0.0005546,0.0005546,0.0005546
75,164.916,1.01415,0.60251,1.53699,0.99827,1,0.995,0.71517,1.06785,0.45302,1.50435,0.0005348,0.0005348,0.0005348
76,167.087,1.02256,0.59864,1.54234,0.99647,1,0.995,0.69396,1.04394,0.48857,1.50852,0.000515,0.000515,0.000515
77,169.275,1.00466,0.6044,1.52785,0.99875,1,0.995,0.7086,1.05612,0.44368,1.5023,0.0004952,0.0004952,0.0004952
