epoch,loss
1,0.16850566864013672
2,0.1302996426820755
3,0.10661386698484421
4,0.09901290386915207
5,0.09871192276477814
6,0.07834834605455399
7,0.08307778090238571
8,0.07710934430360794
9,0.07366117835044861
10,0.0717972069978714
11,0.07623972743749619
12,0.06966833025217056
13,0.06826511770486832
14,0.07603289932012558
15,0.06452405452728271
16,0.07548323273658752
17,0.05963830649852753
18,0.0593385323882103
19,0.07448700815439224
20,0.06635764986276627
21,0.0611158087849617
22,0.06312999874353409
23,0.0693691298365593
24,0.0569528192281723
25,0.06441713124513626
26,0.055903490632772446
27,0.062398411333560944
28,0.0637178122997284
29,0.05946062505245209
30,0.06293395161628723
31,0.059987884014844894
32,0.056899696588516235
33,0.05710599943995476
34,0.0550682507455349
35,0.05968751385807991
36,0.06122513487935066
37,0.05804678797721863
38,0.05477249249815941
39,0.05022122710943222
40,0.05951857939362526
41,0.051824476569890976
42,0.05534348264336586
43,0.05491754040122032
44,0.054254963994026184
45,0.0530049167573452
46,0.054108694195747375
47,0.05657695606350899
48,0.05627116560935974
49,0.0633632019162178
50,0.05069276690483093
51,0.05237194895744324
52,0.052269358187913895
53,0.05341070890426636
54,0.058205217123031616
55,0.05257750675082207
56,0.05129912123084068
57,0.05367092043161392
58,0.05603380128741264
59,0.053711071610450745
60,0.05649048835039139
61,0.053452424705028534
62,0.0535941906273365
63,0.05528591573238373
64,0.05246235802769661
65,0.05581045150756836
66,0.05299294739961624
67,0.047857992351055145
68,0.05158146470785141
69,0.052113279700279236
70,0.054695479571819305
71,0.051474373787641525
72,0.05038983374834061
73,0.052179910242557526
74,0.05235201120376587
75,0.05272475630044937
76,0.062241047620773315
77,0.054512087255716324
78,0.054093845188617706
79,0.0539219044148922
80,0.05116546154022217
81,0.04877742379903793
82,0.05487038567662239
83,0.054997436702251434
84,0.04891734570264816
85,0.047736503183841705
86,0.04957197979092598
87,0.04845552146434784
88,0.04948755353689194
89,0.04733875393867493
90,0.04510488361120224
91,0.05079583823680878
