epoch,train_loss,val_loss,train_acc,val_acc,val_precision,val_recall,val_f1,val_auc,learning_rate
1,0.7053827640295871,0.6269314140949435,0.6500311915159077,0.7087378640776699,0.7196135831381734,0.7124297752808989,0.7071434257963993,0.712429775280899,0.001
2,0.5976719664149087,0.6772143982567833,0.7024329382407986,0.6106796116504855,0.7210119677533146,0.596985622810197,0.5394787456445993,0.596985622810197,0.001
3,0.5353519616466125,0.5143693062865619,0.7346641713453941,0.7407766990291262,0.7545750636132316,0.7360834239458741,0.7344486727261667,0.7360834239458741,0.001
4,0.5324780308337637,0.4816586750224956,0.743189852360158,0.7825242718446602,0.7840891912320485,0.7838060287543797,0.7825168918918919,0.7838060287543797,0.001
5,0.5262222139137306,0.4908120069688964,0.74235807860262,0.7660194174757281,0.7698197325062996,0.768031895614353,0.7658585265961813,0.7680318956143533,0.001
6,0.5141917285415482,0.491891879190519,0.7500519858598461,0.7747572815533981,0.786976928824958,0.7783957049655672,0.7736512471157015,0.7783957049655672,0.001
7,0.5091763670676511,0.4927400664797107,0.7610729881472239,0.7825242718446602,0.7836298091579782,0.7810083665579316,0.7814563765255049,0.7810083665579316,0.001
8,0.5006471269962123,0.4667592352455102,0.7644000831773757,0.7941747572815534,0.7983430665815008,0.7962614775884982,0.7940225409294832,0.7962614775884982,0.001
9,0.5026387634012599,0.5031774968776888,0.7666874610106051,0.7718446601941747,0.7741892778615584,0.7697761870242842,0.7702051871633893,0.7697761870242843,0.001
10,0.49166414842558,0.845163953723838,0.7725098773133707,0.6747572815533981,0.7421413528486728,0.6645221698683097,0.6421307661751604,0.6645221698683098,0.001
11,0.49313090233774043,0.9530363994750004,0.7681430650862965,0.5815533980582525,0.7380588980798845,0.5659546031170714,0.4789865864836729,0.5659546031170714,0.001
12,0.4781305993587417,0.6912620817862668,0.777292576419214,0.6796116504854369,0.7689457831325301,0.6685582034553582,0.6419632925472747,0.6685582034553582,0.001
13,0.48360827744292184,0.6178237928348838,0.7816593886462883,0.6902912621359223,0.7717648737337709,0.6797903829890057,0.6574323429659309,0.6797903829890056,0.001
14,0.47607925124613604,0.5549502538824544,0.7727178207527553,0.7271844660194174,0.7746013500409175,0.7191728585236197,0.7099606272779109,0.7191728585236196,0.001
15,0.48028622781147107,0.43817900390300935,0.7818673320856727,0.8038834951456311,0.8044658586963125,0.802755376344086,0.8031703145339508,0.802755376344086,0.001
16,0.47247077369422225,0.5331999398550941,0.7787481804949054,0.7320388349514563,0.7860473873247595,0.7237110366074665,0.7138024765931743,0.7237110366074665,0.001
17,0.46644758609258896,0.4490572668394996,0.7860262008733624,0.7980582524271844,0.8005172413793102,0.7961331098223994,0.7967061538519933,0.7961331098223994,0.001
18,0.45901001235952393,0.42351724117704964,0.7953836556456644,0.816504854368932,0.8162370910353207,0.8164340944786759,0.8163163054544631,0.8164340944786759,0.001
19,0.4533616165580361,0.44216992154862117,0.7918486171761281,0.8116504854368932,0.8116874792628118,0.8121111211791712,0.8115929457200616,0.8121111211791713,0.001
20,0.4506539475350153,0.5383604214029405,0.8003742981908921,0.7368932038834951,0.7811925479644903,0.7292535036849099,0.721654655526072,0.72925350368491,0.001
21,0.43475819787951364,0.4472781218660688,0.8103555832813475,0.8029126213592233,0.8251210217324132,0.7979453606379123,0.7974599429063516,0.7979453606379123,0.001
22,0.4494255979855855,0.4462063491633795,0.7924724474942816,0.8145631067961165,0.8174035441349756,0.8162830735773832,0.8145125781271361,0.8162830735773831,0.001
23,0.4366616887693272,0.8432366762708113,0.8078602620087336,0.6349514563106796,0.7616738155585885,0.6216133562885103,0.5716327243928662,0.6216133562885103,0.001
24,0.4407600750048608,0.39970501053680496,0.8070284882511957,0.8300970873786407,0.8340473233067094,0.8279645402923765,0.8287604536874216,0.8279645402923765,0.001
25,0.418718502932513,0.5251732487991018,0.810563526720732,0.7601941747572816,0.8213967489464178,0.7519406185816118,0.7440077116658064,0.7519406185816119,0.001
26,0.40762248705320386,0.3603582807246921,0.8197130380536494,0.8349514563106796,0.8352462121212121,0.8341526217228464,0.8344965519327324,0.8341526217228464,0.001
27,0.40636713482729236,0.4500910428831878,0.8174256602204201,0.7980582524271844,0.8214743589743589,0.8029479279932342,0.7958965916712395,0.8029479279932343,0.001
28,0.41375878412972916,0.3456805213562493,0.8211686421293408,0.8504854368932039,0.8535191536270937,0.8487034855624018,0.8495317669914701,0.8487034855624018,0.001
29,0.3902477881818681,0.5086137743106166,0.8290704928259514,0.8009708737864077,0.8221077512624303,0.8056134469010511,0.7991150215155756,0.8056134469010511,0.001
30,0.3898615453428676,0.559925201549692,0.8330214181742566,0.7669902912621359,0.8106696638139601,0.7598578893318835,0.7549845576836922,0.7598578893318835,0.001
31,0.3886723981921949,0.3243115345251213,0.8278228321896444,0.8495145631067961,0.849347069448582,0.8497757339615802,0.8494258564994931,0.8497757339615803,0.001
32,0.37642003798787227,0.367917282430871,0.8361405697650239,0.841747572815534,0.8415031631840834,0.8417829527606622,0.8416040923109727,0.8417829527606621,0.001
33,0.38957852245703334,0.33148828487373094,0.8230401330838012,0.8572815533980582,0.859346697372949,0.8587728041560951,0.8572706559742991,0.8587728041560951,0.001
34,0.37979594430152036,0.3758219898325726,0.8338531919317945,0.8330097087378641,0.8425062332625357,0.8360819137368611,0.8325494525437058,0.8360819137368612,0.001
35,0.3501499583900136,0.32066247746782395,0.8490330630068621,0.8592233009708737,0.8625296309486883,0.8574173915669929,0.8583031865891342,0.8574173915669929,0.001
36,0.35131424322126314,0.30745381105293346,0.8444583073404034,0.8660194174757282,0.8658748114630468,0.8663389513108615,0.8659466351794357,0.8663389513108615,0.001
37,0.35266813099768535,0.3005980308194762,0.842586816385943,0.8660194174757282,0.8659243786196911,0.8664106862389755,0.8659582654354518,0.8664106862389753,0.001
38,0.342690372022702,0.29848914759830364,0.8544395924308588,0.8766990291262136,0.8765982601863709,0.8764233719946841,0.8765033482216614,0.876423371994684,0.001
39,0.3381745879542037,0.339757024373823,0.8494489498856311,0.8475728155339806,0.8600592592592593,0.8441011235955056,0.8451437813799068,0.8441011235955056,0.001
40,0.3390978007213468,0.3457392791231859,0.8492410064462467,0.8388349514563107,0.8534437434279705,0.8350285429503443,0.8358890288101235,0.8350285429503442,0.001
41,0.33186359466498,0.2881984315740252,0.8565190268247037,0.883495145631068,0.8848214285714286,0.8824037996858765,0.8830435918107804,0.8824037996858766,0.001
42,0.3260227573416193,0.29262332357827897,0.8637970472031608,0.8660194174757282,0.8701931936851158,0.8640434336112117,0.8650342399416611,0.8640434336112118,0.001
43,0.3253200244112802,0.32681472567678654,0.8623414431274693,0.8640776699029126,0.8649219864614637,0.8631033285006644,0.8636148680601532,0.8631033285006644,0.001
44,0.321365088255397,0.2861887714527186,0.8619255562487004,0.8737864077669902,0.8736916324806949,0.8741882626555515,0.873728800772527,0.8741882626555516,0.001
45,0.3044507547261735,0.25928085753061236,0.8640049906425452,0.9,0.9001674151329706,0.900688655309895,0.8999787870931246,0.900688655309895,0.001
46,0.30986356346045496,0.2482578009656332,0.8629652734456228,0.8844660194174757,0.8844001794729679,0.8849182976924006,0.8844179737264712,0.8849182976924007,0.001
47,0.30809334881354283,0.3017260307825885,0.868163859430235,0.8640776699029126,0.8640432238409796,0.8645380270629455,0.864026402640264,0.8645380270629455,0.001
48,0.29656944619590464,0.28215302970368883,0.8750259929299231,0.887378640776699,0.8891463488874685,0.8861491180379364,0.8868856245905425,0.8861491180379364,0.001
49,0.2918289534408304,0.27546344503615666,0.8714909544603868,0.8922330097087379,0.8931856179402119,0.8933414884620031,0.8922320954744644,0.8933414884620031,0.001
50,0.28433673278064336,0.2615904072245348,0.8775213142025369,0.8815533980582524,0.8844863683599242,0.8799572610849342,0.8808702181233504,0.8799572610849342,0.001
51,0.2891223797693548,0.27703707796856036,0.8760657101268455,0.8689320388349514,0.872688974159444,0.867067627159599,0.8680333119795003,0.8670676271595988,0.001
52,0.27920394581850067,0.2591285192561381,0.8781451445206904,0.8970873786407767,0.8994192427291019,0.8957276187024283,0.896582035320105,0.8957276187024285,0.001
53,0.2761474104005945,0.25812965514301095,0.8804325223539198,0.8864077669902912,0.8870477325798529,0.8873648362933431,0.8864025202408254,0.8873648362933431,0.001
54,0.27254448431362155,0.2554482017037938,0.884799334580994,0.8970873786407767,0.8968862203180159,0.8973057871209376,0.8970112704647416,0.8973057871209376,0.001
55,0.27361091337424104,0.2505464155407785,0.8820960698689956,0.883495145631068,0.8840643671917436,0.8844123776730699,0.8834881169191091,0.8844123776730699,0.001
56,0.26612929141206637,0.28555018297098217,0.8860469952173009,0.8883495145631068,0.8942123500186934,0.8861528935604688,0.8873915626856803,0.8861528935604688,0.001
57,0.2751214230085676,0.24855510007987902,0.8837596173840715,0.887378640776699,0.8938158341828066,0.8850730941162257,0.8863498006270356,0.8850730941162258,0.001
58,0.2547002124250939,0.23064716059750723,0.8933250155957579,0.8902912621359224,0.891769190715635,0.8891733115863236,0.8898526036860908,0.8891733115863236,0.001
59,0.239049729589589,0.2586540008054196,0.8954044499896028,0.8786407766990292,0.8785203367909837,0.8790133804518545,0.878580232767588,0.8790133804518546,0.001
60,0.2538468997625731,0.2777196161087277,0.8933250155957579,0.8883495145631068,0.8950159374094465,0.8860094237042406,0.8873084267038596,0.8860094237042407,0.001
61,0.2507403733502755,0.3034034442608652,0.891661468080682,0.8902912621359224,0.9035922815555004,0.887021263742902,0.8886513118557318,0.887021263742902,0.001
62,0.24314855096443797,0.201822170296919,0.8954044499896028,0.9135922330097087,0.9152575548536919,0.9125060408360517,0.9132467409563017,0.9125060408360517,0.001
63,0.2416535977573969,0.21530628521176218,0.8978997712622167,0.8980582524271845,0.8983353825782654,0.897524767427812,0.89782701731414,0.897524767427812,0.001
64,0.23327085765589545,0.252862043722162,0.9053857350800583,0.887378640776699,0.8885881055938142,0.8885881055938142,0.887378640776699,0.8885881055938142,0.001
65,0.23420059157275538,0.21567544886498774,0.9014348097317529,0.9097087378640777,0.911342827497349,0.9086172526277636,0.9093477180779331,0.9086172526277636,0.001
66,0.24462695270590834,0.2307147432516501,0.8941567893532959,0.9106796116504854,0.9164319573983439,0.908621028150296,0.9099612708041154,0.908621028150296,0.001
67,0.2326535350519348,0.24573866211745923,0.901850696610522,0.8854368932038835,0.8944945202067377,0.8826982904433973,0.8841151792524791,0.8826982904433974,0.001
68,0.23409919833338763,0.24881162855376318,0.8985236015803701,0.8825242718446602,0.8865081707677034,0.880678385888607,0.8817187462927374,0.8806783858886068,0.001
69,0.22456002546202047,0.21877297062462972,0.9055936785194427,0.9067961165048544,0.9083016717325227,0.9057365289356047,0.9064348734486243,0.9057365289356045,0.001
70,0.22465434173433071,0.22427492923311237,0.9053857350800583,0.9019417475728155,0.9039585117518317,0.9006962063549595,0.9014997078982976,0.9006962063549595,0.001
71,0.22486716277709892,0.22931065359740582,0.9068413391557496,0.9009708737864077,0.9008295625942684,0.9013380451854536,0.9009170781761047,0.9013380451854536,0.001
72,0.2176798330656727,0.20600541786661425,0.9103763776252859,0.9058252427184466,0.9056235355376203,0.9058762232693005,0.9057284742279519,0.9058762232693005,0.001
73,0.2295032068986324,0.1927321488128125,0.9030983572468289,0.9097087378640777,0.9120470362371009,0.9084020478434215,0.9092776592329089,0.9084020478434215,0.001
74,0.22197648213413654,0.20634297646075778,0.9082969432314411,0.9184466019417475,0.9183354476259514,0.9183354476259514,0.9183354476259514,0.9183354476259514,0.001
75,0.20401380190819063,0.1887963779234481,0.9134955292160533,0.9155339805825242,0.9157600372105688,0.9150960492932222,0.9153577389436578,0.9150960492932223,0.001
76,0.2059054723132249,0.21496448663144724,0.9139114160948222,0.9067961165048544,0.9080320466352543,0.9080320466352543,0.9067961165048544,0.9080320466352543,0.001
77,0.20636235417658338,0.23563016148880847,0.9153670201705136,0.8970873786407767,0.9002269392994682,0.8955124139180862,0.8964937960743864,0.8955124139180862,0.001
78,0.2077140870309838,0.20678617361101131,0.9143273029735912,0.9116504854368932,0.9145462037704749,0.9102029720913374,0.9111795503541731,0.9102029720913375,0.001
79,0.19542109011909672,0.2505621856819947,0.9170305676855895,0.8922330097087379,0.8926142984828085,0.8930545487495469,0.8922207170390817,0.8930545487495469,0.001
80,0.18893090286790817,0.1928104860545362,0.9232688708671242,0.9135922330097087,0.9148469792493006,0.9126495106922798,0.9132880997446979,0.9126495106922798,0.001
81,0.19057610590087573,0.21840865961321204,0.9234768143065086,0.9145631067961165,0.9150122197749148,0.9154509484112601,0.9145550527903469,0.91545094841126,0.001
