epoch,train_loss,val_loss,train_acc,val_acc,val_precision,val_recall,val_f1,val_auc,learning_rate
1,0.6987979491402985,0.6609719786829161,0.6475358702432938,0.6796116504854369,0.7104499408459035,0.6719297450767187,0.6612179806638094,0.6719297450767187,0.001
2,0.6397333200420603,0.6142205028858,0.6712414223331253,0.6815533980582524,0.7130605055238226,0.6881493898755588,0.6738794674574491,0.6881493898755588,0.001
3,0.5881352086998267,0.5604374805121746,0.7130380536494073,0.7466019417475728,0.7614758906881793,0.7507400024163344,0.7447810802112536,0.7507400024163344,0.001
4,0.5609831673969076,0.5357050245247998,0.728217924724475,0.7533980582524272,0.7530619487737102,0.7530619487737102,0.7530619487737102,0.7530619487737102,0.001
5,0.5631352283895623,0.6061432884734811,0.727386150966937,0.7213592233009709,0.7284709529832019,0.7175720369699166,0.7166345063462712,0.7175720369699166,0.001
6,0.543182606284597,0.6469026814386682,0.7392389270118528,0.670873786407767,0.7455427668697812,0.6602029720913374,0.6349774350257325,0.6602029720913375,0.001
7,0.5343474378876341,0.5655922975933667,0.751299646496153,0.7349514563106796,0.773158049767555,0.7415843602754622,0.7286468239837646,0.7415843602754622,0.001
8,0.5239327175995495,0.5156596472541105,0.744021626117696,0.7640776699029126,0.7748216841394878,0.76752220007249,0.7630751667674797,0.7675222000724901,0.001
9,0.5245927602120858,0.7328658938407898,0.7481804949053857,0.6844660194174758,0.7476381640572729,0.6746745499577141,0.6554293931337036,0.6746745499577141,0.001
10,0.517377486631017,0.5190935947941345,0.7656477438136827,0.7427184466019418,0.748541401249517,0.7452730457895373,0.7422692580432859,0.7452730457895372,0.001
11,0.5189641469926491,0.572214591966092,0.7527552505718444,0.670873786407767,0.7322588031336374,0.6608485864443638,0.6392406044168927,0.660848586444364,0.001
12,0.5159291150689398,0.5887254441247403,0.7481804949053857,0.7252427184466019,0.7506139584845168,0.7307863658330314,0.7210010614766298,0.7307863658330312,0.001
